Date,KeywordGroup,Ratio,Group
2025-02-13,오메가3,97.76766,All
2025-02-14,오메가3,62.02939,All
2025-02-15,오메가3,60.77676,All
2025-02-16,오메가3,57.41777,All
2025-02-17,오메가3,67.38278,All
2025-02-18,오메가3,99.07627,All
2025-02-19,오메가3,100.0,All
2025-02-20,오메가3,93.58992,All
2025-02-21,오메가3,93.9748,All
2025-02-22,오메가3,54.33869,All
2025-02-23,오메가3,50.73477,All
2025-02-24,오메가3,51.33659,All
2025-02-25,오메가3,54.62561,All
2025-02-26,오메가3,60.11896,All
2025-02-27,오메가3,59.54513,All
2025-02-28,오메가3,56.89293,All
2025-03-01,오메가3,48.59342,All
2025-03-02,오메가3,61.08467,All
2025-03-03,오메가3,62.58922,All
2025-03-04,오메가3,61.58152,All
2025-03-05,오메가3,81.96641,All
2025-03-06,오메가3,57.96361,All
2025-03-07,오메가3,70.6648,All
2025-03-08,오메가3,74.3317,All
2025-03-09,오메가3,81.05668,All
2025-03-10,오메가3,66.08817,All
2025-03-11,오메가3,70.88173,All
2025-03-12,오메가3,64.82855,All
2025-03-13,오메가3,59.27921,All
2025-03-14,오메가3,48.01259,All
2025-03-15,오메가3,48.81035,All
2025-03-16,오메가3,72.6592,All
2025-03-17,오메가3,78.22253,All
2025-03-18,오메가3,64.10776,All
2025-03-19,오메가3,60.93771,All
2025-03-20,오메가3,61.49755,All
2025-03-21,오메가3,64.53463,All
2025-03-22,오메가3,54.16375,All
2025-03-23,오메가3,60.86773,All
2025-03-24,오메가3,61.67249,All
2025-03-25,오메가3,63.22603,All
2025-03-26,오메가3,67.43177,All
2025-03-27,오메가3,62.23932,All
2025-03-28,오메가3,55.29041,All
2025-03-29,오메가3,55.12946,All
2025-03-30,오메가3,45.33939,All
2025-03-31,오메가3,44.00979,All
2025-04-01,오메가3,64.07977,All
2025-04-02,오메가3,54.41567,All
2025-04-03,오메가3,48.44646,All
2025-04-04,오메가3,43.09307,All
2025-04-05,오메가3,45.53533,All
2025-04-06,오메가3,44.96151,All
2025-04-07,오메가3,54.09377,All
2025-04-08,오메가3,66.55703,All
2025-04-09,오메가3,63.89083,All
2025-04-10,오메가3,47.38278,All
2025-04-11,오메가3,45.42337,All
2025-04-12,오메가3,45.52834,All
2025-04-13,오메가3,50.50384,All
2025-04-14,오메가3,47.40377,All
2025-04-15,오메가3,43.21203,All
2025-04-16,오메가3,44.18474,All
2025-04-17,오메가3,42.26731,All
2025-04-18,오메가3,34.82855,All
2025-04-19,오메가3,38.96431,All
2025-04-20,오메가3,44.42267,All
2025-04-21,오메가3,46.20013,All
2025-04-22,오메가3,45.23442,All
2025-04-23,오메가3,35.02449,All
2025-04-24,오메가3,42.87613,All
2025-04-25,오메가3,33.66689,All
2025-04-26,오메가3,23.25402,All
2025-04-27,오메가3,30.82575,All
2025-04-28,오메가3,37.3128,All
2025-04-29,오메가3,33.84184,All
2025-04-30,오메가3,43.19104,All
2025-05-01,오메가3,45.02449,All
2025-05-02,오메가3,46.92792,All
2025-05-03,오메가3,49.27221,All
2025-05-04,오메가3,46.48005,All
2025-05-05,오메가3,47.85864,All
2025-05-06,오메가3,52.54023,All
2025-05-07,오메가3,58.41147,All
2025-05-08,오메가3,53.48495,All
2025-05-09,오메가3,49.18824,All
2025-05-10,오메가3,42.6662,All
2025-05-11,오메가3,48.53743,All
2025-05-12,오메가3,52.86214,All
2025-05-13,오메가3,47.45976,All
2025-05-14,오메가3,44.6536,All
2025-05-15,오메가3,42.91812,All
2025-05-16,오메가3,38.9853,All
2025-05-17,오메가3,36.86494,All
2025-05-18,오메가3,26.50104,All
2025-05-19,오메가3,37.28481,All
2025-05-20,오메가3,32.3303,All
2025-05-21,오메가3,35.51434,All
2025-05-22,오메가3,38.45346,All
2025-05-23,오메가3,28.11756,All
2025-05-24,오메가3,33.56193,All
2025-05-25,오메가3,38.44646,All
2025-05-26,오메가3,30.53883,All
2025-05-27,오메가3,36.634,All
2025-05-28,오메가3,34.73058,All
2025-05-29,오메가3,25.3254,All
2025-05-30,오메가3,24.07277,All
2025-05-31,오메가3,20.01399,All
2025-06-01,오메가3,25.63331,All
2025-06-02,오메가3,20.08397,All
2025-06-03,오메가3,23.24002,All
2025-06-04,오메가3,34.6606,All
2025-06-05,오메가3,32.77816,All
2025-06-06,오메가3,28.20153,All
2025-06-07,오메가3,18.58642,All
2025-06-08,오메가3,22.80615,All
2025-06-09,오메가3,21.17564,All
2025-06-10,오메가3,20.76976,All
2025-06-11,오메가3,15.03848,All
2025-06-12,오메가3,17.08187,All
2025-06-13,오메가3,16.00419,All
2025-06-14,오메가3,13.75787,All
2025-06-15,오메가3,16.25612,All
2025-06-16,오메가3,16.69699,All
2025-06-17,오메가3,16.81595,All
2025-06-18,오메가3,16.27711,All
2025-06-19,오메가3,17.07487,All
2025-06-20,오메가3,14.27571,All
2025-06-21,오메가3,15.37438,All
2025-06-22,오메가3,19.38418,All
2025-06-23,오메가3,20.46885,All
2025-06-24,오메가3,18.53743,All
2025-06-25,오메가3,18.92232,All
2025-06-26,오메가3,17.55073,All
2025-06-27,오메가3,16.48005,All
2025-06-28,오메가3,15.90622,All
2025-06-29,오메가3,19.02029,All
2025-06-30,오메가3,17.44576,All
2025-07-01,오메가3,17.96361,All
2025-07-02,오메가3,17.80965,All
2025-07-03,오메가3,15.50034,All
2025-07-04,오메가3,11.55353,All
2025-07-05,오메가3,11.07067,All
2025-07-06,오메가3,15.92022,All
2025-07-07,오메가3,16.26312,All
2025-07-08,오메가3,18.36249,All
2025-07-09,오메가3,17.52974,All
2025-07-10,오메가3,15.22043,All
2025-07-11,오메가3,10.78376,All
2025-07-12,오메가3,9.41217,All
2025-07-13,오메가3,12.94611,All
2025-07-14,오메가3,16.07417,All
2025-07-15,오메가3,14.24772,All
2025-07-16,오메가3,14.07277,All
2025-07-17,오메가3,16.3261,All
2025-07-18,오메가3,13.317,All
2025-07-19,오메가3,10.20293,All
2025-07-20,오메가3,12.33729,All
2025-07-21,오메가3,14.39468,All
2025-07-22,오메가3,13.86284,All
2025-07-23,오메가3,12.9671,All
2025-07-24,오메가3,11.08467,All
2025-07-25,오메가3,9.88103,All
2025-07-26,오메가3,8.76137,All
2025-07-27,오메가3,11.9734,All
2025-07-28,오메가3,13.12106,All
2025-07-29,오메가3,13.9748,All
2025-07-30,오메가3,13.66689,All
2025-07-31,오메가3,11.55353,All
2025-08-01,오메가3,6.80895,All
2025-08-02,오메가3,5.92722,All
2025-08-03,오메가3,6.66899,All
2025-08-04,오메가3,7.22883,All
2025-08-05,오메가3,7.15185,All
2025-08-06,오메가3,6.94191,All
2025-08-07,오메가3,7.02589,All
2025-08-08,오메가3,6.62701,All
2025-08-09,오메가3,6.46606,All
2025-08-10,오메가3,6.50104,All
2025-08-11,오메가3,6.44506,All
2025-08-12,오메가3,6.80895,All
2025-08-13,오메가3,6.21413,All
2025-08-14,오메가3,5.73128,All
2025-08-15,오메가3,5.84324,All
2025-08-16,오메가3,5.9832,All
2025-08-17,오메가3,6.66899,All
2025-08-18,오메가3,7.24282,All
2025-08-19,오메가3,7.80965,All
2025-08-20,오메가3,6.67599,All
2025-08-21,오메가3,6.634,All
2025-08-22,오메가3,6.04618,All
2025-08-23,오메가3,6.02519,All
2025-08-24,오메가3,6.07417,All
2025-08-25,오메가3,7.22883,All
2025-08-26,오메가3,7.13785,All
2025-08-27,오메가3,6.20713,All
2025-08-28,오메가3,7.38278,All
2025-08-29,오메가3,5.57032,All
2025-08-30,오메가3,5.85724,All
2025-08-31,오메가3,6.79496,All
2025-09-01,오메가3,7.9846,All
2025-09-02,오메가3,7.40377,All
2025-09-03,오메가3,6.36109,All
2025-09-04,오메가3,6.11616,All
2025-09-05,오메가3,6.19314,All
2025-09-06,오메가3,5.52834,All
2025-09-07,오메가3,6.40307,All
2025-09-08,오메가3,6.70398,All
2025-09-09,오메가3,6.48005,All
2025-09-10,오메가3,5.73827,All
2025-09-11,오메가3,5.54233,All
2025-09-12,오메가3,5.3184,All
2025-09-13,오메가3,5.3324,All
2025-09-14,오메가3,5.38138,All
2025-09-15,오메가3,6.24912,All
2025-09-16,오메가3,6.15815,All
2025-09-17,오메가3,6.60601,All
2025-09-18,오메가3,5.92022,All
2025-09-19,오메가3,6.38908,All
2025-09-20,오메가3,5.12946,All
2025-09-21,오메가3,6.06717,All
2025-09-22,오메가3,6.93491,All
2025-09-23,오메가3,6.3191,All
2025-09-24,오메가3,6.50804,All
2025-09-25,오메가3,5.9762,All
2025-09-26,오메가3,5.25542,All
2025-09-27,오메가3,5.36039,All
2025-09-28,오메가3,5.6403,All
2025-09-29,오메가3,6.92092,All
2025-09-30,오메가3,5.6543,All
2025-10-01,오메가3,6.01119,All
2025-10-02,오메가3,5.20643,All
2025-10-03,오메가3,4.08677,All
2025-10-04,오메가3,4.41567,All
2025-10-05,오메가3,3.77886,All
2025-10-06,오메가3,4.61861,All
2025-10-07,오메가3,4.70258,All
2025-10-08,오메가3,5.9832,All
2025-10-09,오메가3,5.50034,All
2025-10-10,오메가3,5.72428,All
2025-10-11,오메가3,5.47235,All
2025-10-12,오메가3,7.01889,All
2025-10-13,오메가3,7.41777,All
2025-10-14,오메가3,6.55703,All
2025-10-15,오메가3,6.24212,All
2025-10-16,오메가3,6.9699,All
2025-10-17,오메가3,5.75227,All
2025-10-18,오메가3,4.94751,All
2025-10-19,오메가3,5.73128,All
2025-10-20,오메가3,5.88523,All
2025-10-21,오메가3,6.47305,All
2025-10-22,오메가3,5.9832,All
2025-10-23,오메가3,5.78026,All
2025-10-24,오메가3,5.54933,All
2025-10-25,오메가3,4.3037,All
2025-10-26,오메가3,5.12946,All
2025-10-27,오메가3,6.14415,All
2025-10-28,오메가3,6.41007,All
2025-10-29,오메가3,6.34009,All
2025-10-30,오메가3,5.04548,All
2025-10-31,오메가3,5.18544,All
2025-11-01,오메가3,5.57032,All
2025-11-02,오메가3,6.02519,All
2025-11-03,오메가3,5.77326,All
2025-11-04,오메가3,6.20713,All
2025-11-05,오메가3,7.03289,All
2025-11-06,오메가3,7.84464,All
2025-11-07,오메가3,5.36039,All
2025-11-08,오메가3,6.36808,All
2025-11-09,오메가3,6.634,All
2025-11-10,오메가3,8.34149,All
2025-11-11,오메가3,8.16655,All
2025-11-12,오메가3,7.6417,All
2025-11-13,오메가3,7.45976,All
2025-11-14,오메가3,7.07487,All
2025-11-15,오메가3,6.86494,All
2025-11-16,오메가3,6.29811,All
2025-11-17,오메가3,6.06717,All
2025-11-18,오메가3,5.89223,All
2025-11-19,오메가3,6.9979,All
2025-11-20,오메가3,6.69699,All
2025-11-21,오메가3,5.78726,All
2025-11-22,오메가3,5.88523,All
2025-11-23,오메가3,7.24282,All
2025-11-24,오메가3,6.43806,All
2025-11-25,오메가3,8.07557,All
2025-11-26,오메가3,7.81665,All
2025-11-27,오메가3,7.27081,All
2025-11-28,오메가3,6.45206,All
2025-11-29,오메가3,6.06018,All
2025-11-30,오메가3,6.44506,All
2025-12-01,오메가3,8.22253,All
2025-12-02,오메가3,7.73268,All
2025-12-03,오메가3,8.55843,All
2025-12-04,오메가3,7.66969,All
2025-12-05,오메가3,7.6487,All
2025-12-06,오메가3,7.06787,All
2025-12-07,오메가3,7.07487,All
2025-12-08,오메가3,7.83764,All
2025-12-09,오메가3,7.42477,All
2025-12-10,오메가3,6.55003,All
2025-12-11,오메가3,6.07417,All
2025-12-12,오메가3,5.71728,All
2025-12-13,오메가3,5.9692,All
2025-12-14,오메가3,6.80895,All
2025-12-15,오메가3,6.53603,All
2025-12-16,오메가3,6.76696,All
2025-12-17,오메가3,6.3051,All
2025-12-18,오메가3,5.80825,All
2025-12-19,오메가3,4.9755,All
2025-12-20,오메가3,5.01749,All
