main_active,n_products,avg_price,med_price,avg_rating,avg_reviews,total_reviews
magnesium,301,27415.87748344371,23481.5,4.749337748344371,6196.8443708609275,1871447
기타/복합,55,30543.072727272727,26184.0,4.427272727272728,2713.327272727273,149233
glycine,31,27986.870967741936,25067.0,4.738709677419355,3242.5806451612902,100520
valerian,11,15690.09090909091,15755.0,4.609090909090909,2585.2727272727275,28438
tryptophan,8,25965.25,27377.5,4.6125,1782.375,14259
passion_flower,7,12677.142857142857,12289.0,4.628571428571428,2135.0,14945
chamomile,6,10790.333333333334,11270.0,4.6000000000000005,829.1666666666666,4975
ashwagandha,5,28685.2,26131.0,4.779999999999999,552.0,2760
melatonin,5,21409.0,19389.0,4.58,166.0,830
lemon_balm,1,24220.0,24220.0,4.5,156.0,156
theanine,1,8742.0,8742.0,4.5,2285.0,2285
